offence_short_statement,fines_До кризиса,fines_Кризис,share_До кризиса,share_Кризис,share_change_pp
Превышение скорости на 20-40 км/ч,22839.0,35797.0,0.805921168707435,0.8022635589421784,-0.3657609765256642
Не пристегнут ремень безопасности,1370.0,2216.0,0.04834327252196619,0.04966382787987449,0.13205553579083013
Нарушение разметки,1021.0,1762.0,0.03602808849994707,0.03948901837740924,0.34609298774621666
Превышение скорости на 40-60 км/ч,614.0,796.0,0.021666254984297258,0.01783953384132676,-0.38267211429704984
Использование телефона за рулем,393.0,766.0,0.013867814672359646,0.01716718960107575,0.32993749287161045
Движение по выделенной полосе,267.0,516.0,0.009421645082748157,0.011564320932317346,0.21426758495691894
Проезд на красный сигнал светофора,328.0,469.0,0.011574155757083877,0.010510981622590766,-0.10631741344931112
Пересечение стоп-линии,254.0,422.0,0.008962913299693002,0.009457642312864186,0.049472901317118394
Остановка или стоянка в неположенном месте (Москва и Санкт-Петербург),183.0,265.0,0.006457532023007163,0.005939040788883908,-0.05184912341232549
Неоплаченный проезд по платной дороге,143.0,253.0,0.00504604961360669,0.005670103092783505,0.062405347917681486
Поворот (разворот) в запрещенном месте,134.0,248.0,0.004728466071491584,0.005558045719408337,0.08295796479167528
Остановка или стоянка в неположенном месте,190.0,241.0,0.006704541444652246,0.005401165396683102,-0.13033760479691445
Движение по обочине,213.0,209.0,0.007516143830057518,0.004683998207082026,-0.28321456229754916
"Нарушение правил пользования световыми приборами, звуковыми сигналами",74.0,200.0,0.002611242457390875,0.0044822949350067235,0.18710524776158485
Превышение скорости на 60-80 км/ч,73.0,141.0,0.002575955397155863,0.00316001792917974,0.058406253202387695
Движение по выделенной полосе (Москва и Санкт-Петербург),134.0,136.0,0.004728466071491584,0.003047960555804572,-0.16805055156870122
Не пропустил пешехода,30.0,61.0,0.0010586118070503546,0.0013670999551770506,0.0308488148126696
Поворот не из крайней полосы,18.0,45.0,0.0006351670842302128,0.0010085163603765128,0.03733492761463
Выезд на полосу встречного движения или на трамвайные пути встречного направления,41.0,42.0,0.0014467694696354847,0.000941281936351412,-0.05054875332840727
Превышение скорости более чем на 80 км/ч,14.0,16.0,0.0004940188432901655,0.00035858359480053786,-0.013543524848962762
Остановка или стоянка на пешеходном переходе или тротуаре,5.0,11.0,0.0001764353011750591,0.0002465262214253698,0.007009092025031069
Остановка на перекрестке,0.0,4.0,0.0,8.964589870013447e-05,0.008964589870013447
Движение по автомагистрали на грузовом ТС далее второй полосы,0.0,2.0,0.0,4.482294935006723e-05,0.0044822949350067235
Остановка или стоянка на трамвайных путях либо далее первого ряда от края проезжей части,1.0,1.0,3.528706023501182e-05,2.2411474675033616e-05,-0.0012875585559978203
Проезд грузовых ТС в запрещенном месте (Москва и Санкт-Петербург),0.0,1.0,0.0,2.2411474675033616e-05,0.0022411474675033617
