registration_region,month,clients,fines_2025,fines_2026,fuel_orders,fuel_volume_l,fuel_price_median,fines_per_client_2025,fines_per_client_2026
Кемеровская область,4,692,317,177.0,2036.0,74427.8,65.51,0.45809248554913296,0.25578034682080925
Кемеровская область,5,692,432,214.0,2244.0,82326.8,65.945,0.6242774566473989,0.3092485549132948
Кемеровская область,6,692,446,265.0,2291.0,83287.63,66.46,0.6445086705202312,0.3829479768786127
Кемеровская область,7,692,573,340.0,2247.0,70149.14,67.04499999999999,0.8280346820809249,0.4913294797687861
Кемеровская область,8,692,325,287.0,2146.0,74770.87,67.22,0.46965317919075145,0.4147398843930636
Краснодарский край,4,726,337,360.0,2355.0,92248.91,70.07,0.4641873278236915,0.49586776859504134
Краснодарский край,5,726,391,504.0,2296.0,88582.87,70.37,0.5385674931129476,0.6942148760330579
Краснодарский край,6,726,439,397.0,1770.0,66307.65,70.915,0.6046831955922864,0.546831955922865
Краснодарский край,7,726,513,302.0,1483.0,46842.58,72.08,0.7066115702479339,0.41597796143250687
Краснодарский край,8,726,445,124.0,1002.0,37295.11,72.13,0.6129476584022039,0.17079889807162535
Красноярский край,4,780,433,232.0,1987.0,72772.62,66.01,0.5551282051282052,0.29743589743589743
Красноярский край,5,780,500,261.0,2159.0,77864.95,66.53,0.6410256410256411,0.3346153846153846
Красноярский край,6,780,525,309.0,2107.0,76862.66,67.94999999999999,0.6730769230769231,0.39615384615384613
Красноярский край,7,780,533,295.0,2152.0,67038.09999999999,67.56,0.6833333333333333,0.3782051282051282
Красноярский край,8,780,657,240.0,2307.0,78163.39,67.64,0.8423076923076923,0.3076923076923077
Ленинградская область,4,917,548,502.0,2713.0,104072.31999999999,69.09,0.5976008724100327,0.5474372955288986
Ленинградская область,5,917,741,670.0,2839.0,107089.68,69.39,0.8080697928026173,0.7306434023991276
Ленинградская область,6,917,646,617.0,2456.0,89962.17,69.745,0.7044711014176663,0.6728462377317339
Ленинградская область,7,917,816,582.0,2237.0,69214.61,70.88749999999999,0.8898582333696837,0.6346782988004362
Ленинградская область,8,917,774,453.0,2231.0,76612.99,70.95,0.8440567066521265,0.4940021810250818
Москва,4,5265,7358,3151.0,14686.0,607554.7,70.375,1.3975308641975308,0.5984805318138652
Москва,5,5265,10531,4172.0,16619.0,676483.17,70.745,2.000189933523267,0.7924026590693257
Москва,6,5265,10073,5599.0,12523.0,489096.22,71.24000000000001,1.9132003798670465,1.0634377967711302
Москва,7,5265,10457,5050.0,13452.0,419988.76,72.1,1.9861348528015195,0.9591642924976258
Москва,8,5265,9108,1816.0,12222.0,438419.72,72.47,1.72991452991453,0.3449192782526116
Московская область,4,3520,3734,1923.0,10701.0,423336.74,69.14,1.0607954545454545,0.5463068181818181
Московская область,5,3520,5241,2657.0,11839.0,470499.37,69.59,1.4889204545454546,0.7548295454545455
Московская область,6,3520,5166,2823.0,8881.0,344847.17,70.35,1.4676136363636363,0.8019886363636364
Московская область,7,3520,5417,2692.0,8824.0,274998.19,71.29,1.5389204545454545,0.7647727272727273
Московская область,8,3520,4791,1392.0,7551.0,268992.23,71.85,1.3610795454545455,0.39545454545454545
Нижегородская область,4,1522,447,388.0,4443.0,163712.24,68.26499999999999,0.29369250985545337,0.25492772667542707
Нижегородская область,5,1522,877,553.0,4685.0,171730.42,68.92,0.576215505913272,0.3633377135348226
Нижегородская область,6,1522,849,645.0,3856.0,138826.13999999998,69.24,0.5578186596583443,0.42378449408672797
Нижегородская область,7,1522,762,614.0,2945.0,93090.06999999999,70.045,0.5006570302233903,0.40341655716162944
Нижегородская область,8,1522,1040,524.0,3325.0,117271.52,70.21,0.683311432325887,0.3442838370565046
Новосибирская область,4,1239,404,655.0,3278.0,126374.55,66.31,0.32606941081517354,0.5286521388216303
Новосибирская область,5,1239,649,789.0,3693.0,140416.25,66.7,0.5238095238095238,0.6368038740920097
Новосибирская область,6,1239,757,992.0,3909.0,146191.22,67.0875,0.6109765940274415,0.8006456820016142
Новосибирская область,7,1239,1019,719.0,3206.0,100337.59999999999,68.4425,0.8224374495560937,0.5803066989507667
