registration_region,clients,fines_per_client_2025,fines_per_client_2026,fuel_orders,fuel_volume_l,price_pre,price_crisis,price_change_pct,fines_change_pct
Москва,5265,9.026970560303894,3.7584045584045587,69502.0,2631542.57,70.56,71.93666666666667,0.01951058201058209,-0.5836471900183053
Московская область,3520,6.917329545454545,3.2633522727272726,47796.0,1782673.7,69.36500000000001,71.16333333333334,0.025925658953843245,-0.528235245800649
Санкт-Петербург,3187,4.178851584562285,2.958581738311892,42792.0,1567554.42,69.50875,70.645,0.016346862805042273,-0.2920108124342995
Свердловская область,2580,3.641860465116279,2.2895348837209304,36499.0,1253958.01,67.44,68.56833333333334,0.016730921312771985,-0.3713282247765006
Республика Татарстан,1919,4.063053673788431,3.0036477331943723,25043.0,883564.26,66.095,67.47166666666666,0.020828605290364788,-0.26074131076054885
Нижегородская область,1522,2.611695137976347,1.7897503285151117,19254.0,684630.39,68.5925,69.83166666666666,0.018065629138268147,-0.31471698113207547
Челябинская область,1461,2.123203285420945,1.4503764544832307,20536.0,695828.6,65.32625,66.6175,0.019766173628518402,-0.31689232753062546
Новосибирская область,1239,2.930589184826473,3.112187247780468,18159.0,649940.4199999999,66.505,67.9975,0.022441921660025566,0.06196640044064994
Ленинградская область,917,3.8440567066521263,3.0796074154852784,12476.0,446951.77,69.24000000000001,70.52749999999999,0.01859474292316543,-0.19886524822695018
Красноярский край,780,3.3948717948717952,1.714102564102564,10712.0,372701.72,66.27000000000001,67.71666666666665,0.021829887832603756,-0.4950906344410877
Краснодарский край,726,2.9269972451790633,2.3236914600550964,8906.0,331277.12,70.22,71.70833333333333,0.021195290990221105,-0.20611764705882352
Кемеровская область,692,3.0245664739884393,1.8540462427745665,10964.0,384962.24,65.72749999999999,66.90833333333332,0.017965590252684516,-0.3870043000477783
Самарская область,540,2.725925925925926,2.7092592592592593,6319.0,226527.66,66.45499999999998,73.03333333333333,0.09898929099892184,-0.006114130434782594
Омская область,536,2.9085820895522385,2.531716417910448,8003.0,280338.49,65.21000000000001,66.13333333333334,0.014159382507795248,-0.12957023733162276
Тюменская область,490,2.940816326530612,2.369387755102041,6456.0,227741.61,67.69,68.91416666666667,0.018084896833604258,-0.19430950728660645
Республика Башкортостан,301,3.823920265780731,2.568106312292359,3099.0,110259.45999999999,65.45,66.85083333333334,0.02140310669722445,-0.3284100781928757
