region,region_name,population_2025,grp_pc_2024_rub,grp_pc_2023_rub,refinery,refinery_examples,macroarea,lon,lat
2,Башкортостан,4042377,739698.6,613157.1,1,Уфимская группа; Салават,Поволжье,55.97,54.74
16,Татарстан,4019606,1361838.5,1173278.0,1,ТАНЕКО; ТАИФ-НК,Поволжье,49.12,55.79
23,Краснодарский край,5842238,922283.2,828223.4,1,Туапсинский; Ильский; Афипский; Краснодарский,Юг,38.98,45.04
24,Красноярский край,2837988,1522495.3,1316317.9,1,Ачинский,Сибирь,92.87,56.01
42,Кемеровская область,2527219,716693.7,746072.8,1,Яйский,Сибирь,86.09,55.35
47,Ленинградская область,2059479,1174111.0,952085.1,1,Киришинефтеоргсинтез,Северо-Запад,32.03,59.45
50,Московская область,8775735,1249020.0,1082220.1,0,Нет крупного НПЗ в принятом перечне; Московский НПЗ относится к Москве,Центр,38.5,55.3
52,Нижегородская область,3039421,1009913.6,901932.8,1,ЛУКОЙЛ-Нижегороднефтеоргсинтез,Поволжье,44.00,56.33
54,Новосибирская область,2786540,966864.7,828210.5,0,Нет крупного НПЗ в принятом перечне,Сибирь,82.92,55.03
55,Омская область,1805806,779598.9,674884.9,1,Омский,Сибирь,73.37,54.99
63,Самарская область,3112566,1062849.0,872565.8,1,Куйбышевский; Новокуйбышевский; Сызранский,Поволжье,50.10,53.20
66,Свердловская область,4221452,1124324.2,1005029.9,0,Нет крупного НПЗ в принятом перечне,Урал,60.60,56.84
72,Тюменская область,1626809,1365511.2,1205699.0,1,Тюменский (бывший Антипинский),Урал,65.54,57.15
74,Челябинская область,3385124,870656.5,771660.0,0,Нет крупного НПЗ в принятом перечне,Урал,61.40,55.16
77,Москва,13274285,3103504.3,2782298.2,1,Московский,Центр,37.62,55.75
78,Санкт-Петербург,5652922,2301327.3,1953954.6,0,Нет крупного НПЗ в принятом перечне; Кириши относятся к Ленинградской области,Северо-Запад,30.32,59.94
