model,term,beta,ci_low,ci_high,p_value,n,adj_r2
Население + ВРП,Intercept,26.085385928467787,14.936716326199928,37.234055530735645,0.00022058645514044185,16,0.051081694472843164
Население + ВРП,logpop,9.826929054125198,-1.1784820515576069,20.832340159808005,0.07584742407213821,16,0.051081694472843164
Население + ВРП,loggrp,-6.256939233319834,-19.63321343032371,7.119334963684043,0.3306752184334588,16,0.051081694472843164
Добавить НПЗ,Intercept,12.310282866675585,2.053181668734652,22.56738406461652,0.02259443029784678,16,0.2329341874762566
Добавить НПЗ,logpop,12.900116100973934,-0.6553832038990972,26.455615405846963,0.060316286670943096,16,0.2329341874762566
Добавить НПЗ,loggrp,-7.1896234697542045,-22.72442913893382,8.34518219942541,0.3331774324791178,16,0.2329341874762566
Добавить НПЗ,refinery,20.036513544424924,-1.5386924590307203,41.61171954788057,0.06588663046981193,16,0.2329341874762566
Без двух столиц,Intercept,10.269861697541549,-4.678543633798535,25.218267028881634,0.15682359841945226,14,0.2900300202369248
Без двух столиц,logpop,17.09773096132989,5.143004520619108,29.052457402040673,0.009708391007113674,14,0.2900300202369248
Без двух столиц,loggrp,-3.25191837351153,-31.368469367240735,24.864632620217677,0.8018615364280031,14,0.2900300202369248
Без двух столиц,refinery,26.45850183471751,4.114125332322978,48.80287833711204,0.024802345772268954,14,0.2900300202369248
Без Башкортостана и Самары,Intercept,13.087003286277882,3.8372303148502613,22.336776257705502,0.010289607876430011,14,0.21003426293794003
Без Башкортостана и Самары,logpop,9.548778110690142,-3.824972669101168,22.922528890481452,0.14272129478670809,14,0.21003426293794003
Без Башкортостана и Самары,loggrp,-2.4284220552120797,-16.15932056732594,11.302476456901779,0.7018056747975472,14,0.21003426293794003
Без Башкортостана и Самары,refinery,12.21314553093559,-7.629086879437297,32.05537794130848,0.20022185735616396,14,0.21003426293794003
ВРП 2023 вместо 2024,Intercept,11.882913677381149,0.8179138060420676,22.94791354872023,0.03739455892288697,16,0.3153757843177456
ВРП 2023 вместо 2024,logpop,14.387008318604114,1.1246437460294576,27.64937289117877,0.035817657529672475,16,0.3153757843177456
ВРП 2023 вместо 2024,loggrp,-9.50231263510513,-23.908946398503197,4.904321128292938,0.17624868120147946,16,0.3153757843177456
ВРП 2023 вместо 2024,refinery,20.658141456125975,1.2705672578213658,40.04571565443058,0.03865479603899649,16,0.3153757843177456
Без Тюмени и Кузбасса,Intercept,11.664686333025006,-3.41302636535473,26.742399031404744,0.11546852988846677,14,0.4526909080133221
Без Тюмени и Кузбасса,logpop,16.058110507860142,2.09692061954304,30.019300396177243,0.028237371994227073,14,0.4526909080133221
Без Тюмени и Кузбасса,loggrp,-12.372078621255083,-28.041764913917824,3.2976076714076594,0.10903815190448107,14,0.4526909080133221
Без Тюмени и Кузбасса,refinery,23.020146123404086,1.2509777164040905,44.789314530404084,0.040214473669201084,14,0.4526909080133221
