variable,definition,unit
population_2025,Население на 01.01.2025,человек
grp_pc_2024_rub,Номинальный ВРП на жителя 2024,руб./житель
refinery,Наличие крупного НПЗ в рабочем перечне,0/1; не мощность
liters_change,Изменение чистых литров на клиента и 30 дней,%
transactions_change,Изменение числа положительных операций на клиента и 30 дней,%
price_change,Изменение цены положительного топлива с весом по литрам,%; состав топлива не фиксирован
matched_price_change,Медиана индивидуального изменения цены среди покупавших в оба периода,%; диагностическая проверка
S,Двойной стандартизированный индекс спада покупок,SD по 16 регионам
away_fine_share,Доля штрафов вне региона регистрации,%
beta,Коэффициент: единицы определяются таблицей,п.п. для моделей штрафов и регионального спада
p_holm,p после поправки Holm в заданном семействе,вероятность
aug_apr_index,Август: литры на день относительно апреля,апрель=100
