excluded,model,term,beta,ci_low,ci_high,p_value,n
Башкортостан,Исключение региона,post_new:S,-1.1902998303097587,-2.423602041657179,0.043002381037661463,0.05742693935534769,26911
Татарстан,Исключение региона,post_new:S,-1.6306279111608337,-2.9161551449323433,-0.3451006773893239,0.01657540152552829,25273
Краснодарский край,Исключение региона,post_new:S,-1.1453863109329565,-2.277481896236217,-0.013290725629695917,0.04770705469868603,26523
Красноярский край,Исключение региона,post_new:S,-1.1054864631485906,-2.18752266060057,-0.023450265696611274,0.045844032421480205,26610
Кемеровская область,Исключение региона,post_new:S,-1.336525483038837,-2.6323942710690016,-0.04065669500867199,0.04409004588475846,26636
Ленинградская область,Исключение региона,post_new:S,-1.482129754205013,-2.718570492213995,-0.24568901619603095,0.02219540465122671,26088
Московская область,Исключение региона,post_new:S,-1.4282311225348545,-2.694611171062387,-0.1618510740073218,0.02977036280772624,22796
Нижегородская область,Исключение региона,post_new:S,-1.479671499478806,-2.6739656765399724,-0.2853773224176397,0.01876031435928423,26140
Новосибирская область,Исключение региона,post_new:S,-1.6668461277888604,-2.905301952846859,-0.4283903027308621,0.011952412553039199,25496
Омская область,Исключение региона,post_new:S,-1.392617496831105,-2.614444585027689,-0.17079040863452033,0.0283371189470224,26620
Самарская область,Исключение региона,post_new:S,-1.2904290488895571,-2.740451879984241,0.15959378220512627,0.07701302974800878,26592
Свердловская область,Исключение региона,post_new:S,-1.5720776323076175,-3.0041205412013126,-0.1400347234139225,0.03367213499532836,24862
Тюменская область,Исключение региона,post_new:S,-1.3108548770741673,-2.4944596139651645,-0.12725014018317038,0.032357965667547534,26672
Челябинская область,Исключение региона,post_new:S,-1.3363186258974524,-2.534682883126458,-0.137954368668447,0.03136383953184855,26409
Москва,Исключение региона,post_new:S,-1.3143979983245804,-2.528611438013674,-0.1001845586354867,0.035839357582181944,20211
Санкт-Петербург,Исключение региона,post_new:S,-1.3446965829605932,-2.6770181420620953,-0.012375023859091151,0.04817764066742844,23891
