home,region_name,fines
Кемеровская область,Алтайский край,34
Кемеровская область,Кемеровская область,564
Кемеровская область,Красноярский край,1
Кемеровская область,Москва,3
Кемеровская область,Московская область,2
Кемеровская область,Новосибирская область,99
Кемеровская область,Омская область,1
Кемеровская область,Республика Алтай,15
Кемеровская область,Санкт-Петербург,18
Кемеровская область,Свердловская область,4
Кемеровская область,Томская область,9
Кемеровская область,Тюменская область,1
Краснодарский край,Владимирская область,2
Краснодарский край,Волгоградская область,3
Краснодарский край,Вологодская область,3
Краснодарский край,Воронежская область,7
Краснодарский край,Кабардино-Балкарская Республика,6
Краснодарский край,Калужская область,6
Краснодарский край,Кемеровская область,4
Краснодарский край,Краснодарский край,466
Краснодарский край,Ленинградская область,12
Краснодарский край,Москва,42
Краснодарский край,Московская область,44
Краснодарский край,Нижегородская область,1
Краснодарский край,Новгородская область,1
Краснодарский край,Псковская область,1
Краснодарский край,Республика Адыгея,128
Краснодарский край,Республика Башкортостан,2
Краснодарский край,Республика Карелия,3
Краснодарский край,Республика Крым,42
Краснодарский край,Республика Марий Эл,2
Краснодарский край,Республика Татарстан,21
Краснодарский край,Ростовская область,22
Краснодарский край,Самарская область,3
Краснодарский край,Санкт-Петербург,45
Краснодарский край,Саратовская область,5
Краснодарский край,Севастополь,1
Краснодарский край,Смоленская область,6
Краснодарский край,Ставропольский край,21
Краснодарский край,Тверская область,2
Краснодарский край,Тульская область,11
Краснодарский край,Ульяновская область,1
Красноярский край,Алтайский край,8
Красноярский край,Иркутская область,1
Красноярский край,Калужская область,1
Красноярский край,Кемеровская область,33
Красноярский край,Красноярский край,578
Красноярский край,Ленинградская область,1
Красноярский край,Москва,15
Красноярский край,Московская область,16
Красноярский край,Новосибирская область,32
Красноярский край,Омская область,6
Красноярский край,Оренбургская область,1
Красноярский край,Республика Алтай,2
Красноярский край,Республика Башкортостан,1
Красноярский край,Республика Марий Эл,1
Красноярский край,Республика Тыва,1
Красноярский край,Республика Хакасия,27
Красноярский край,Самарская область,2
Красноярский край,Санкт-Петербург,3
Красноярский край,Свердловская область,1
Красноярский край,Севастополь,1
Красноярский край,Тамбовская область,1
Красноярский край,Тверская область,4
Красноярский край,Тульская область,1
Ленинградская область,Владимирская область,2
Ленинградская область,Волгоградская область,3
Ленинградская область,Вологодская область,53
Ленинградская область,Воронежская область,2
Ленинградская область,Ивановская область,2
Ленинградская область,Калининградская область,2
Ленинградская область,Краснодарский край,12
Ленинградская область,Ленинградская область,643
Ленинградская область,Московская область,15
Ленинградская область,Нижегородская область,1
Ленинградская область,Новгородская область,15
Ленинградская область,Псковская область,18
Ленинградская область,Республика Адыгея,1
Ленинградская область,Республика Башкортостан,2
Ленинградская область,Республика Дагестан,1
Ленинградская область,Республика Карелия,12
Ленинградская область,Республика Крым,2
Ленинградская область,Республика Татарстан,1
Ленинградская область,Ростовская область,1
Ленинградская область,Рязанская область,1
Ленинградская область,Санкт-Петербург,857
Ленинградская область,Саратовская область,3
Ленинградская область,Севастополь,1
Ленинградская область,Смоленская область,1
Ленинградская область,Ставропольский край,3
Ленинградская область,Тверская область,1
Ленинградская область,Тульская область,4
Ленинградская область,Ульяновская область,3
Ленинградская область,Ярославская область,2
Москва,Астраханская область,4
Москва,Белгородская область,6
Москва,Брянская область,2
Москва,Владимирская область,62
Москва,Волгоградская область,29
Москва,Вологодская область,25
Москва,Воронежская область,33
Москва,Ивановская область,9
Москва,Кабардино-Балкарская Республика,12
Москва,Калининградская область,1
Москва,Калужская область,41
Москва,Кемеровская область,12
Москва,Костромская область,13
Москва,Краснодарский край,18
Москва,Красноярский край,2
Москва,Курская область,2
Москва,Ленинградская область,17
Москва,Липецкая область,6
Москва,Москва,5554
Москва,Московская область,3934
Москва,Мурманская область,31
Москва,Нижегородская область,41
Москва,Новгородская область,10
Москва,Новосибирская область,3
Москва,Оренбургская область,4
Москва,Орловская область,10
Москва,Пензенская область,4
Москва,Псковская область,4
Москва,Республика Адыгея,7
Москва,Республика Башкортостан,9
Москва,Республика Дагестан,4
Москва,Республика Карачаево-Черкессия,3
Москва,Республика Карелия,23
Москва,Республика Крым,19
Москва,Республика Марий Эл,8
Москва,Республика Мордовия,11
Москва,Республика Северная Осетия,1
Москва,Республика Татарстан,29
Москва,Республика Хакасия,3
Москва,Ростовская область,47
Москва,Рязанская область,124
Москва,Самарская область,8
Москва,Санкт-Петербург,52
Москва,Саратовская область,11
Москва,Свердловская область,7
Москва,Севастополь,1
Москва,Смоленская область,127
Москва,Ставропольский край,18
Москва,Тамбовская область,22
Москва,Тверская область,30
Москва,Тульская область,163
Москва,Удмуртская Республика,2
Москва,Ульяновская область,20
Москва,Челябинская область,6
Москва,Чувашская Республика,26
Москва,Ярославская область,41
Московская область,Брянская область,6
Московская область,Владимирская область,29
Московская область,Волгоградская область,12
Московская область,Вологодская область,9
Московская область,Воронежская область,27
Московская область,Ивановская область,2
Московская область,Кабардино-Балкарская Республика,10
Московская область,Калужская область,15
Московская область,Кемеровская область,12
Московская область,Костромская область,13
Московская область,Краснодарский край,20
Московская область,Курская область,2
Московская область,Ленинградская область,11
Московская область,Липецкая область,4
Московская область,Москва,1806
Московская область,Московская область,3707
Московская область,Нижегородская область,19
Московская область,Новгородская область,17
Московская область,Новосибирская область,4
Московская область,Оренбургская область,13
Московская область,Орловская область,10
Московская область,Пензенская область,2
Московская область,Пермский край,3
Московская область,Псковская область,4
Московская область,Республика Адыгея,8
Московская область,Республика Алтай,1
Московская область,Республика Башкортостан,7
Московская область,Республика Дагестан,2
Московская область,Республика Карачаево-Черкессия,2
Московская область,Республика Карелия,4
Московская область,Республика Крым,13
Московская область,Республика Марий Эл,3
Московская область,Республика Мордовия,17
Московская область,Республика Татарстан,12
Московская область,Ростовская область,25
Московская область,Рязанская область,67
Московская область,Самарская область,20
Московская область,Санкт-Петербург,16
Московская область,Саратовская область,4
Московская область,Свердловская область,5
Московская область,Севастополь,3
Московская область,Смоленская область,80
Московская область,Ставропольский край,7
Московская область,Тамбовская область,14
Московская область,Тверская область,21
Московская область,Тульская область,129
Московская область,Ульяновская область,22
Московская область,Чувашская Республика,13
Московская область,Ярославская область,15
Нижегородская область,Владимирская область,62
Нижегородская область,Волгоградская область,11
Нижегородская область,Вологодская область,4
Нижегородская область,Воронежская область,1
Нижегородская область,Ивановская область,5
Нижегородская область,Кабардино-Балкарская Республика,2
Нижегородская область,Калужская область,1
Нижегородская область,Кемеровская область,5
Нижегородская область,Костромская область,3
Нижегородская область,Ленинградская область,6
Нижегородская область,Липецкая область,5
Нижегородская область,Москва,27
Нижегородская область,Московская область,66
Нижегородская область,Нижегородская область,1074
Нижегородская область,Новгородская область,2
Нижегородская область,Пензенская область,1
Нижегородская область,Республика Адыгея,2
Нижегородская область,Республика Крым,2
Нижегородская область,Республика Марий Эл,5
Нижегородская область,Республика Мордовия,10
Нижегородская область,Республика Татарстан,15
Нижегородская область,Ростовская область,4
Нижегородская область,Рязанская область,1
Нижегородская область,Самарская область,4
Нижегородская область,Санкт-Петербург,11
Нижегородская область,Саратовская область,5
Нижегородская область,Смоленская область,8
Нижегородская область,Ставропольский край,3
Нижегородская область,Тамбовская область,1
Нижегородская область,Тверская область,4
Нижегородская область,Тульская область,5
Нижегородская область,Ульяновская область,2
Нижегородская область,Чувашская Республика,16
Нижегородская область,Ярославская область,3
Новосибирская область,Алтайский край,157
Новосибирская область,Кемеровская область,57
Новосибирская область,Красноярский край,6
Новосибирская область,Москва,10
Новосибирская область,Московская область,2
Новосибирская область,Новосибирская область,1818
Новосибирская область,Омская область,8
Новосибирская область,Республика Алтай,28
Новосибирская область,Республика Хакасия,1
Новосибирская область,Томская область,5
Омская область,Алтайский край,6
Омская область,Вологодская область,3
Омская область,Кемеровская область,2
Омская область,Краснодарский край,1
Омская область,Ленинградская область,1
Омская область,Москва,8
Омская область,Московская область,6
Омская область,Мурманская область,6
Омская область,Нижегородская область,1
Омская область,Новосибирская область,77
Омская область,Омская область,598
Омская область,Республика Адыгея,1
Омская область,Республика Башкортостан,1
Омская область,Ростовская область,1
Омская область,Санкт-Петербург,6
Омская область,Тюменская область,14
Республика Башкортостан,Алтайский край,5
Республика Башкортостан,Волгоградская область,2
Республика Башкортостан,Воронежская область,1
Республика Башкортостан,Кемеровская область,2
Республика Башкортостан,Москва,21
Республика Башкортостан,Московская область,8
Республика Башкортостан,Нижегородская область,1
Республика Башкортостан,Новгородская область,1
Республика Башкортостан,Новосибирская область,2
Республика Башкортостан,Оренбургская область,1
Республика Башкортостан,Пензенская область,1
Республика Башкортостан,Республика Башкортостан,270
Республика Башкортостан,Республика Крым,1
Республика Башкортостан,Республика Марий Эл,1
Республика Башкортостан,Республика Татарстан,8
Республика Башкортостан,Ростовская область,1
Республика Башкортостан,Самарская область,4
Республика Башкортостан,Санкт-Петербург,11
Республика Башкортостан,Саратовская область,2
Республика Башкортостан,Свердловская область,17
Республика Башкортостан,Ставропольский край,1
Республика Башкортостан,Томская область,1
Республика Башкортостан,Тюменская область,1
Республика Башкортостан,Удмуртская Республика,1
Республика Башкортостан,Челябинская область,1
Республика Татарстан,Владимирская область,4
Республика Татарстан,Волгоградская область,14
Республика Татарстан,Вологодская область,1
Республика Татарстан,Воронежская область,1
Республика Татарстан,Ивановская область,1
Республика Татарстан,Кемеровская область,11
Республика Татарстан,Кировская область,3
Республика Татарстан,Краснодарский край,4
Республика Татарстан,Ленинградская область,1
Республика Татарстан,Москва,7
Республика Татарстан,Московская область,18
Республика Татарстан,Нижегородская область,9
Республика Татарстан,Новгородская область,1
Республика Татарстан,Оренбургская область,16
Республика Татарстан,Пермский край,1
Республика Татарстан,Республика Башкортостан,42
Республика Татарстан,Республика Карачаево-Черкессия,1
Республика Татарстан,Республика Крым,2
Республика Татарстан,Республика Марий Эл,50
Республика Татарстан,Республика Татарстан,2696
Республика Татарстан,Ростовская область,2
Республика Татарстан,Рязанская область,2
Республика Татарстан,Самарская область,23
Республика Татарстан,Санкт-Петербург,1
Республика Татарстан,Саратовская область,14
Республика Татарстан,Свердловская область,12
Республика Татарстан,Смоленская область,2
Республика Татарстан,Удмуртская Республика,13
Республика Татарстан,Ульяновская область,12
Республика Татарстан,Чувашская Республика,24
Республика Татарстан,Ярославская область,2
Самарская область,Владимирская область,1
Самарская область,Волгоградская область,4
Самарская область,Воронежская область,1
Самарская область,Запорожская область,1
Самарская область,Кемеровская область,1
Самарская область,Краснодарский край,9
Самарская область,Москва,11
Самарская область,Московская область,29
Самарская область,Нижегородская область,3
Самарская область,Новгородская область,1
Самарская область,Оренбургская область,12
Самарская область,Пензенская область,1
Самарская область,Республика Адыгея,1
Самарская область,Республика Башкортостан,5
