model,term,beta,ci_low,ci_high,p_value,n
Основная модель,post_new,-2.0479716449097225,-2.959641901324156,-1.1363013884952893,0.00023942190084523573,27182
Без Москвы и Санкт-Петербурга,post_new,-1.8897245441414765,-3.136059683029941,-0.643389405253012,0.006023948261073335,16920
Без Башкортостана и Самары,post_new,-1.9007650187419252,-2.876564169119277,-0.9249658683645733,0.001023808330587612,26321
Подписка до 1 апреля,post_new,-2.0479716449097225,-2.959641901324156,-1.1363013884952893,0.00023942190084523573,27182
Апрель против июня–августа,post_new,-2.2444734899514094,-3.690442542507208,-0.7985044373956106,0.0047749975185094875,22274
Апрель против июня,post_new,-2.221818600444548,-4.022139183739673,-0.4214980171494239,0.01891467674342472,11711
Равный суммарный вес региона,post_new,-1.8874817680357814,-3.9564464416193212,0.18148290554775814,0.07083409935392211,27182
Дозозависимость,post_new:S,-1.3714875858017541,-2.5680079497728685,-0.17496722183063929,0.02740858309397013,27182
Доза + население,post_new:S,-1.2347928890399995,-2.46426492383208,-0.005320854247918734,0.04913515546700207,27182
Доза + ВРП,post_new:S,-1.365318025953777,-2.5833106117286606,-0.14732544017889304,0.03045698560206309,27182
Доза + НПЗ,post_new:S,-1.4085857988234403,-2.7719005088795066,-0.04527108876737386,0.043709313750113075,27182
Доза + все 3 фактора,post_new:S,-1.0105564922743475,-2.2929870605390676,0.2718740759903727,0.11374049799412295,27182
Доза по авто 6–10 лет,post_new:S,-1.9404220049330754,-3.162438351369644,-0.7184056584965071,0.004085697213005172,27182
