region,База: все клиенты,Только литры,Только заправки,Без возвратов,Активны до и после,Подписка до 1 апреля,Апрель против июня,Апрель против августа
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0
23,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
24,15.0,15.0,15.0,15.0,13.0,15.0,14.0,16.0
42,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0
47,10.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0
50,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0
52,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0
54,14.0,13.0,14.0,14.0,15.0,14.0,15.0,15.0
55,12.0,12.0,13.0,12.0,14.0,12.0,13.0,12.0
63,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
66,13.0,14.0,12.0,13.0,12.0,13.0,11.0,13.0
72,8.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0
74,9.0,10.0,8.0,9.0,8.0,9.0,12.0,6.0
77,7.0,7.0,7.0,7.0,7.0,7.0,5.0,8.0
78,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0
